location,magnitude	
3,52	
3.03,1	
3.05,2	
3.07,1	
3.08,1	
3.1,40	
3.11,1	
3.13,1	
3.16,2	
3.19,1	
3.2,37	
3.21,1	
3.3,29	
3.37,1	
3.4,35	
3.43,1	
3.45,1	
3.47,1	
3.5,23	
3.51,1	
3.52,1	
3.54,1	
3.6,25	
3.7,16	
3.77,1	
3.8,14	
3.83,1	
3.9,10	
4,21	
4.1,53	
4.2,51	
4.3,50	
4.4,54	
4.5,70	
4.6,70	
4.7,50	
4.8,45	
4.9,40	
5,22	
5.1,20	
5.2,14	
5.3,15	
5.4,11	
5.5,8	
5.6,4	
5.7,5	
5.8,2	
5.9,6	
6,4	
